Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
MOISES,tvui,playback,,,2021-09-11 14:56:34
MOISES,tvui,movieDetails,,,2021-09-11 14:56:34
MOISES,tvui,postPlay,,,2021-09-11 14:56:34
MOISES,tvui,episodesSelector,,,2021-09-11 14:54:38
MOISES,tvui,playback,,,2021-09-11 14:54:38
MOISES,tvui,movieDetails,,,2021-09-11 14:54:33
MOISES,tvui,episodesSelector,,,2021-09-11 14:54:33
MOISES,tvui,browseTitles,,,2021-09-11 14:54:25
MOISES,tvui,movieDetails,,,2021-09-11 14:54:25
MOISES,tvui,browseTitles,,,2021-09-11 14:54:08
MOISES,tvui,profilesGate,,,2021-09-11 14:54:08
MOISES,tvui,profilesGate,,,2021-09-11 14:54:01
MOISES,tvui,profilesGate,,,2021-09-10 15:11:04
MOISES,tvui,postPlay,,,2021-09-10 00:08:59
MOISES,tvui,playback,,,2021-09-10 00:08:59
MOISES,tvui,playback,,,2021-09-10 00:08:54
MOISES,tvui,postPlay,,,2021-09-10 00:08:54
MOISES,tvui,playback,,,2021-09-09 23:26:44
MOISES,tvui,movieDetails,,,2021-09-09 23:26:44
MOISES,tvui,movieDetails,,,2021-09-09 23:26:41
MOISES,tvui,browseTitles,,,2021-09-09 23:26:41
MOISES,tvui,profilesGate,,,2021-09-09 23:26:27
MOISES,tvui,browseTitles,,,2021-09-09 23:26:27
MOISES,tvui,profilesGate,,,2021-09-09 23:26:25
MOISES,tvui,profilesGate,,,2021-09-07 20:43:06
MOISES,www,browseTitlesGallery,https://www.netflix.com/br/login,/browse/genre/34399,2021-09-06 00:36:24
MOISES,www,playback,/browse/genre/34399,/watch/81058613?trackId=250326522&tctx=2%2C1%2Cde6b17f9-7db2-4de2-85ae-37481c5c8bde-57905394%2C9082de31-2e7e-4ac8-a862-e37281025b2e_78084718X54XX1630888577785%2C9082de31-2e7e-4ac8-a862-e37281025b2e_ROOT%2C,2021-09-06 00:36:24
MOISES,www,movieDetails,/browse/genre/34399,/browse/genre/34399?jbv=81471869,2021-09-06 00:33:55
MOISES,www,browseTitlesGallery,/browse/genre/34399?jbv=81471869,/browse/genre/34399,2021-09-06 00:33:55
MOISES,www,browseTitlesGallery,/browse/genre/34399?jbv=70295061,/browse/genre/34399,2021-09-06 00:33:53
MOISES,www,browseTitlesGallery,/browse/genre/34399,/browse/genre/34399?jbv=81471869,2021-09-06 00:33:53
MOISES,www,movieDetails,/browse/genre/34399,/browse/genre/34399?jbv=70295061,2021-09-06 00:33:13
MOISES,www,browseTitlesGallery,/browse/genre/34399?jbv=70295061,/browse/genre/34399,2021-09-06 00:33:13
MOISES,www,browseTitlesGallery,/browse/genre/34399?jbv=70295061,/browse/genre/34399,2021-09-06 00:32:55
MOISES,www,browseTitlesGallery,/browse/genre/34399,/browse/genre/34399?jbv=70295061,2021-09-06 00:32:55
MOISES,www,movieDetails,/browse/genre/34399,/browse/genre/34399?jbv=70295061,2021-09-06 00:30:29
MOISES,www,browseTitlesGallery,/browse/genre/34399?jbv=70295061,/browse/genre/34399,2021-09-06 00:30:29
MOISES,www,browseTitlesGallery,/browse,/browse/genre/34399,2021-09-06 00:30:14
MOISES,www,browseTitlesGallery,/browse/genre/34399,/browse/genre/34399?jbv=70295061,2021-09-06 00:30:14
MOISES,www,browseTitles,https://www.netflix.com/br/login,/browse,2021-09-06 00:29:42
MOISES,www,browseTitlesGallery,/browse,/browse/genre/34399,2021-09-06 00:29:42
MOISES,www,profilesGate,https://www.netflix.com/br/login,/browse,2021-09-06 00:28:28
MOISES,www,browseTitles,https://www.netflix.com/br/login,/browse,2021-09-06 00:28:28
MOISES,tvui,postPlay,,,2021-09-04 04:01:32
MOISES,tvui,movieDetails,,,2021-09-04 04:01:32
MOISES,tvui,postPlay,,,2021-09-04 03:59:13
MOISES,tvui,playback,,,2021-09-04 03:59:13
MOISES,tvui,postPlay,,,2021-09-04 03:07:46
MOISES,tvui,playback,,,2021-09-04 03:07:46
MOISES,tvui,playback,,,2021-09-04 03:07:41
MOISES,tvui,postPlay,,,2021-09-04 03:07:41
MOISES,tvui,postPlay,,,2021-09-04 02:20:39
MOISES,tvui,playback,,,2021-09-04 02:20:39
MOISES,tvui,playback,,,2021-09-04 02:20:36
MOISES,tvui,postPlay,,,2021-09-04 02:20:36
MOISES,tvui,postPlay,,,2021-09-04 01:35:47
MOISES,tvui,playback,,,2021-09-04 01:35:47
MOISES,tvui,playback,,,2021-09-04 01:35:42
MOISES,tvui,postPlay,,,2021-09-04 01:35:42
MOISES,tvui,postPlay,,,2021-09-04 00:47:59
MOISES,tvui,playback,,,2021-09-04 00:47:59
MOISES,tvui,postPlay,,,2021-09-04 00:47:54
MOISES,tvui,playback,,,2021-09-04 00:47:54
MOISES,tvui,playback,,,2021-09-04 00:02:59
MOISES,tvui,postPlay,,,2021-09-04 00:02:59
MOISES,tvui,playback,,,2021-09-04 00:02:54
MOISES,tvui,postPlay,,,2021-09-04 00:02:54
MOISES,tvui,episodesSelector,,,2021-09-03 22:57:39
MOISES,tvui,playback,,,2021-09-03 22:57:39
MOISES,tvui,movieDetails,,,2021-09-03 22:57:26
MOISES,tvui,episodesSelector,,,2021-09-03 22:57:26
MOISES,tvui,movieDetails,,,2021-09-03 22:57:23
MOISES,tvui,browseTitles,,,2021-09-03 22:57:23
MOISES,tvui,browseTitles,,,2021-09-03 22:56:45
MOISES,tvui,profilesGate,,,2021-09-03 22:56:45
MOISES,tvui,profilesGate,,,2021-09-03 22:56:42
MOISES,tvui,profilesGate,,,2021-09-02 21:37:24
MOISES,www,playback,/watch/81021245?trackId=14170286&tctx=2%2C0%2C01916eb7-a253-4429-ab22-90cb871ec82e-38960346%2C48553622-0031-4f78-9eaa-09b56f9bef39_3479165X3XX1630598839664%2C48553622-0031-4f78-9eaa-09b56f9bef39_ROOT%2C,/watch/81310577?trackId=155573560,2021-09-02 17:36:00
MOISES,www,browseTitles,/watch/81310577?trackId=155573560,/browse,2021-09-02 17:36:00
MOISES,www,postPlay,/browse,/watch/81021245?trackId=14170286&tctx=2%2C0%2C01916eb7-a253-4429-ab22-90cb871ec82e-38960346%2C48553622-0031-4f78-9eaa-09b56f9bef39_3479165X3XX1630598839664%2C48553622-0031-4f78-9eaa-09b56f9bef39_ROOT%2C,2021-09-02 17:02:43
MOISES,www,playback,/watch/81021245?trackId=14170286&tctx=2%2C0%2C01916eb7-a253-4429-ab22-90cb871ec82e-38960346%2C48553622-0031-4f78-9eaa-09b56f9bef39_3479165X3XX1630598839664%2C48553622-0031-4f78-9eaa-09b56f9bef39_ROOT%2C,/watch/81310577?trackId=155573560,2021-09-02 17:02:43
MOISES,www,browseTitles,https://www.netflix.com/browse,/browse,2021-09-02 16:51:13
MOISES,www,playback,/browse,/watch/81021245?trackId=14170286&tctx=2%2C0%2C01916eb7-a253-4429-ab22-90cb871ec82e-38960346%2C48553622-0031-4f78-9eaa-09b56f9bef39_3479165X3XX1630598839664%2C48553622-0031-4f78-9eaa-09b56f9bef39_ROOT%2C,2021-09-02 16:51:13
MOISES,www,profilesGate,https://www.netflix.com/browse,/browse,2021-09-02 16:51:08
MOISES,www,browseTitles,https://www.netflix.com/browse,/browse,2021-09-02 16:51:08
MOISES,tvui,playback,,,2021-09-02 16:07:14
MOISES,tvui,movieDetails,,,2021-09-02 16:07:14
MOISES,tvui,playback,,,2021-09-02 15:41:04
MOISES,tvui,postPlay,,,2021-09-02 15:41:04
MOISES,tvui,playback,,,2021-09-02 15:40:59
MOISES,tvui,postPlay,,,2021-09-02 15:40:59
MOISES,www,playback,/watch/81021245?trackId=14170032&tctx=1%2C3%2Cc693745c-09ee-4bbb-a62a-e3540f35138a-35783151%2Ca04e2730-9459-4b52-9453-d162d2499f0e_32007502X6XX1630587565601%2Ca04e2730-9459-4b52-9453-d162d2499f0e_ROOT%2C,/watch/81310575?trackId=14170032,2021-09-02 15:38:24
MOISES,www,browseTitles,/watch/81310575?trackId=14170032,/browse,2021-09-02 15:38:24
MOISES,tvui,movieDetails,,,2021-09-02 15:29:36
MOISES,tvui,playback,,,2021-09-02 15:29:36
MOISES,tvui,movieDetails,,,2021-09-02 15:29:35
MOISES,tvui,browseTitles,,,2021-09-02 15:29:35
MOISES,tvui,errorDialog,,,2021-09-02 15:29:26
MOISES,tvui,browseTitles,,,2021-09-02 15:29:26
MOISES,tvui,errorDialog,,,2021-09-02 15:29:23
MOISES,tvui,browseTitles,,,2021-09-02 15:29:23
MOISES,tvui,profilesGate,,,2021-09-02 15:29:14
MOISES,tvui,browseTitles,,,2021-09-02 15:29:14
MOISES,tvui,profilesGate,,,2021-09-02 15:29:13
MOISES,www,playback,/watch/81021245?trackId=14170032&tctx=1%2C3%2Cc693745c-09ee-4bbb-a62a-e3540f35138a-35783151%2Ca04e2730-9459-4b52-9453-d162d2499f0e_32007502X6XX1630587565601%2Ca04e2730-9459-4b52-9453-d162d2499f0e_ROOT%2C,/watch/81310575?trackId=14170032,2021-09-02 13:40:39
MOISES,www,playback,/browse,/watch/81021245?trackId=14170032&tctx=1%2C3%2Cc693745c-09ee-4bbb-a62a-e3540f35138a-35783151%2Ca04e2730-9459-4b52-9453-d162d2499f0e_32007502X6XX1630587565601%2Ca04e2730-9459-4b52-9453-d162d2499f0e_ROOT%2C,2021-09-02 13:40:39
MOISES,www,browseTitles,/watch/80991754?trackId=14170286&tctx=1%2C0%2C588748e5-5ee1-4e77-b18a-815395904006-20558503%2C16293667-805a-4525-9ec3-b7ed6c5d1987_27488263X3XX1630581071837%2C16293667-805a-4525-9ec3-b7ed6c5d1987_ROOT%2C,/browse,2021-09-02 13:38:53
