Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Rafael,NFANDROID1-PRV-P-MOTORMOTOROLA=ONE=FUSION-13234-0639D9619785E1FFAB11015E83D8A05C01E866C3292F9476B7B5C25FBB5291D2D,DefaultWidevineAndroidPhone,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,,,,,
Victor,NFANDROID1-PRV-P-MOTORMOTOROLA=ONE=FUSION-13234-0639D9619785E1FFAB11015E83D8A05C01E866C3292F9476B7B5C25FBB5291D2D,DefaultWidevineAndroidPhone,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,2021-03-28T22:24:30.594Z,2021-09-11T16:46:56.646Z,,,,,
MOISES,NFCDCH-02-H9V71XTCGANT0GTNW830LLCLYCHNA5,Chrome PC (Cadmium),2021-05-13T21:38:28.073Z,2021-05-14T18:29:01.250Z,2021-05-13T21:38:28.073Z,2021-05-14T18:29:01.250Z,2021-05-13T21:38:28.073Z,2021-05-14T18:29:01.250Z,2021-05-13T21:38:28.073Z,2021-05-14T18:29:01.250Z,
Victor,NFANDROID1-PRV-P-L3-MOTORMOTOROLA=ONE=ACTION-8158-030F15D1CBF371FB429C6E430C3550D30FBFE658C6B8BF5003CB8BE337174DEB2,Android DefaultWidevineL3Phone Android Phone,2020-02-09T21:54:53.538Z,2021-04-30T03:12:07.533Z,2020-02-09T21:54:53.538Z,2021-04-30T03:12:07.533Z,2020-02-09T21:54:53.538Z,2021-04-30T03:12:07.533Z,2020-02-09T21:54:53.538Z,2021-04-30T03:12:07.533Z,
Marcio,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-096BAF0E2673B4E0ED5EA9A67A5BD15D96B4F53518A356B075A368D2F38F822F0,DefaultWidevineAndroidPhone,,,,,,,,,
Rafael,LGTV20194=41004331312,LG 2019 Mstar M3R Standard DTV Smart TV,2020-03-12T00:51:55.955Z,2021-09-23T02:59:46.221Z,2020-03-12T00:54:09.255Z,2021-09-23T02:59:46.221Z,,,,,
Marcio,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-067D42BC7A7F1CC01954EAF6392A6A4CC51DCA4F116A03C327479BE3FD3CCC382,DefaultWidevineAndroidPhone,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,
MOISES,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-08AEA50426F99F33861D4E8664AADD8EF712E2C322C65B644094D986C77B87FA9,Android DefaultWidevineL3Phone Android Phone,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2021-03-12T01:56:58.514Z,2021-03-12T02:15:30.072Z,2021-03-12T01:56:58.514Z,2021-03-12T02:15:30.072Z,
MOISES,PHTV13OPM0-00038980012701130408133614,Philips 2013 MTK5396 based TVs Smart TV,2019-07-13T19:44:22.140Z,2021-07-17T00:55:08.191Z,2019-07-13T19:44:22.140Z,2021-07-17T00:55:08.191Z,,,,,
MOISES,NFANDROID1-B-REALTSMART=TV001S-D4A09812BA6356DFBFB1FD622F80CD7A18E2D2C6A13DE8DA4DFAA9E0037C2B33,Netflix AndroidLegacySTB Android,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,2021-01-28T15:43:26.130Z,2021-07-17T01:39:17.514Z,,,,,
