Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Rafael,BR,Smart TV,0,o milagr,Milagres do Paraíso,play,video_info,2020-03-28 20:32:51
Rafael,BR,Smart TV,0,o milagr,Milagres do Paraíso,view_video_info,title_results,2020-03-28 20:32:42
Rafael,BR,Smart TV,0,lesbica,D.E.B.S.: As Super Espiãs,play,video_info,2020-03-26 00:38:27
Rafael,BR,Smart TV,0,lesbica,D.E.B.S.: As Super Espiãs,view_video_info,suggestion_title_results,2020-03-26 00:38:24
Rafael,BR,Smart TV,0,lesbica,Carol,play,video_info,2020-03-26 00:37:12
Rafael,BR,Smart TV,0,lesbica,Carol,view_video_info,suggestion_title_results,2020-03-26 00:37:08
Rafael,BR,Smart TV,0,lesbica,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2020-03-26 00:37:05
Rafael,BR,Smart TV,0,lesbica,O Limite da Traição,play,video_info,2020-03-26 00:36:50
Rafael,BR,Smart TV,0,lesbica,O Limite da Traição,view_video_info,title_results,2020-03-26 00:36:47
Rafael,BR,Smart TV,0,lesbica,Loving Annabelle,view_video_info,title_results,2020-03-26 00:36:30
Rafael,BR,Smart TV,0,lesbica,Gypsy,play,video_info,2020-03-26 00:33:43
Rafael,BR,Smart TV,0,lesbica,Gypsy,view_video_info,title_results,2020-03-26 00:33:42
Rafael,BR,Smart TV,0,lesbica,Elisa y Marcela,view_video_info,suggestion_title_results,2020-03-26 00:33:24
Rafael,BR,Smart TV,0,lesbica,Filmes sobre lésbicas aclamados pela crítica,view_suggestion_info,suggestion_results,2020-03-26 00:33:23
Rafael,BR,Smart TV,0,lesbica,Você nem imagina,view_video_info,suggestion_title_results,2020-03-26 00:32:51
Rafael,BR,Smart TV,0,lesbica,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2020-03-26 00:32:43
Rafael,BR,Smart TV,0,lesbica,Colega de Quarto,play,video_info,2020-03-26 00:27:42
Rafael,BR,Smart TV,0,lesbica,Colega de Quarto,view_video_info,title_results,2020-03-26 00:27:36
Rafael,BR,Smart TV,0,esqueceu de,Corrida mortal,play,video_info,2020-03-20 22:14:37
Rafael,BR,Smart TV,0,esqueceu de,Corrida mortal,view_video_info,title_results,2020-03-20 22:14:33
Rafael,BR,Smart TV,0,esqueceu de,"Dennis, o Pimentinha",play,video_info,2020-03-20 22:13:42
Rafael,BR,Smart TV,0,esqueceu de,"Dennis, o Pimentinha",view_video_info,title_results,2020-03-20 22:13:38
Rafael,BR,Smart TV,0,les,Ana e Vitória,play,video_info,2020-02-27 00:04:02
Rafael,BR,Smart TV,0,les,Ana e Vitória,view_video_info,suggestion_title_results,2020-02-27 00:03:58
Rafael,BR,Smart TV,0,les,Ana e Vitória,play,video_info,2020-02-27 00:03:23
Rafael,BR,Smart TV,0,les,Ana e Vitória,view_video_info,suggestion_title_results,2020-02-27 00:03:21
Rafael,BR,Smart TV,0,les,Elisa y Marcela,view_video_info,suggestion_title_results,2020-02-27 00:03:13
Rafael,BR,Smart TV,0,les,Loving Annabelle,view_video_info,suggestion_title_results,2020-02-27 00:03:08
Rafael,BR,Smart TV,0,les,LGBT - Lésbicas,view_suggestion_info,suggestion_results,2020-02-27 00:03:05
Rafael,BR,Smart TV,0,les,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2020-02-27 00:03:01
Rafael,BR,Smart TV,0,les,Crônicas de San Francisco,play,video_info,2020-02-27 00:02:55
Rafael,BR,Smart TV,0,les,Crônicas de San Francisco,view_video_info,suggestion_title_results,2020-02-27 00:02:52
Rafael,BR,Smart TV,0,les,LGBT - Lésbicas,view_suggestion_info,suggestion_results,2020-02-27 00:02:46
Rafael,BR,Smart TV,0,les,Gatunas,play,video_info,2020-02-27 00:02:23
Rafael,BR,Smart TV,0,les,Gatunas,view_video_info,suggestion_title_results,2020-02-27 00:02:21
Rafael,BR,Smart TV,0,les,LGBT - Lésbicas,view_suggestion_info,suggestion_results,2020-02-27 00:02:18
Rafael,BR,Smart TV,0,les,D.E.B.S.: As Super Espiãs,play,video_info,2020-02-27 00:02:00
Rafael,BR,Smart TV,0,les,D.E.B.S.: As Super Espiãs,view_video_info,suggestion_title_results,2020-02-27 00:01:57
Rafael,BR,Smart TV,0,les,Lesbian Sex & Sexuality,view_suggestion_info,suggestion_results,2020-02-27 00:01:49
Rafael,BR,Smart TV,0,les,Dry Martina,play,video_info,2020-02-27 00:01:44
Rafael,BR,Smart TV,0,les,Dry Martina,view_video_info,suggestion_title_results,2020-02-27 00:01:40
Rafael,BR,Smart TV,0,les,Lesbian Sex & Sexuality,view_suggestion_info,suggestion_results,2020-02-27 00:01:33
Rafael,BR,Smart TV,0,vel,Velozes e Furiosos 8,play,video_info,2020-02-23 22:02:56
Rafael,BR,Smart TV,0,vel,Velozes e Furiosos 8,view_video_info,title_results,2020-02-23 22:02:54
Rafael,BR,Smart TV,0,lesbica,Árvore de Sangue,play,video_info,2020-02-21 00:45:32
Rafael,BR,Smart TV,0,lesbica,Árvore de Sangue,view_video_info,suggestion_title_results,2020-02-21 00:45:30
Rafael,BR,Smart TV,0,lesbica,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2020-02-21 00:45:25
Rafael,BR,Smart TV,0,lesbica,LGBT - Lésbicas,view_suggestion_info,suggestion_results,2020-02-21 00:45:14
Rafael,BR,Smart TV,0,lesbica,Colega de Quarto,play,video_info,2020-02-21 00:42:45
Rafael,BR,Smart TV,0,lesbica,Colega de Quarto,view_video_info,title_results,2020-02-21 00:42:42
Rafael,BR,Smart TV,0,lesbica,Elisa y Marcela,play,video_info,2020-02-21 00:42:27
Rafael,BR,Smart TV,0,lesbica,Elisa y Marcela,view_video_info,title_results,2020-02-21 00:42:22
Rafael,BR,Smart TV,0,lesbica,The Perfection,play,video_info,2020-02-02 01:20:21
Rafael,BR,Smart TV,0,lesbica,The Perfection,view_video_info,suggestion_title_results,2020-02-02 01:20:19
Rafael,BR,Smart TV,0,lesbica,Elisa y Marcela,view_video_info,suggestion_title_results,2020-02-02 01:20:11
Rafael,BR,Smart TV,0,lesbica,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2020-02-02 01:20:03
Rafael,BR,Smart TV,0,lesbica,O Limite da Traição,play,video_info,2020-02-02 01:18:10
Rafael,BR,Smart TV,0,lesbica,O Limite da Traição,view_video_info,title_results,2020-02-02 01:18:07
Rafael,BR,Smart TV,0,lesbica,Pretty Little Liars,play,video_info,2020-02-02 01:17:43
Rafael,BR,Smart TV,0,lesbica,Pretty Little Liars,view_video_info,title_results,2020-02-02 01:17:40
Rafael,BR,Smart TV,0,lesbica,Elisa y Marcela,play,video_info,2020-02-02 01:16:51
Rafael,BR,Smart TV,0,lesbica,Elisa y Marcela,view_video_info,title_results,2020-02-02 01:16:48
Rafael,BR,Smart TV,0,lesbica,LGBT - Lésbicas,view_suggestion_info,suggestion_results,2020-02-02 01:16:36
Rafael,BR,Smart TV,0,lesbica,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2020-02-02 01:16:28
Rafael,BR,Smart TV,0,lesbica,Pretty Little Liars,play,video_info,2020-02-02 01:14:41
Rafael,BR,Smart TV,0,lesbica,Pretty Little Liars,view_video_info,title_results,2020-02-02 01:14:38
Rafael,BR,Smart TV,0,aparecida,Um maluco no pedaço,play,video_info,2020-01-16 00:07:14
Rafael,BR,Smart TV,0,aparecida,Um maluco no pedaço,view_video_info,title_results,2020-01-16 00:07:11
Rafael,BR,Smart TV,0,aparecida,Dois Papas,play,video_info,2020-01-16 00:06:56
Rafael,BR,Smart TV,0,aparecida,Dois Papas,view_video_info,title_results,2020-01-16 00:06:54
Rafael,BR,Smart TV,0,aparecida,José e Maria,play,video_info,2020-01-16 00:06:43
Rafael,BR,Smart TV,0,aparecida,José e Maria,view_video_info,title_results,2020-01-16 00:06:40
Rafael,BR,iPhone,0,inve,Invencível,view_video_info,title_results,2020-01-15 17:35:22
Rafael,BR,Smart TV,0,,Drácula,play,video_info,2020-01-09 02:00:11
Rafael,BR,Smart TV,0,,Drácula,view_video_info,popularSearches,2020-01-09 02:00:07
Rafael,BR,Smart TV,0,roc,Ajuste de Contas,play,video_info,2020-01-06 06:55:20
Rafael,BR,Smart TV,0,roc,Ajuste de Contas,view_video_info,title_results,2020-01-06 06:55:17
Rafael,BR,Smart TV,0,ro,Rocky,view_suggestion_info,suggestion_results,2020-01-06 06:51:43
Rafael,BR,Smart TV,0,ro,Rocky Balboa,view_suggestion_info,suggestion_results,2020-01-06 06:51:17
Rafael,BR,Smart TV,0,romana,Hot Girls Wanted,play,video_info,2020-01-06 06:15:11
